sample	K00344	K14161	K02112	K00997	K19338	K07266	K22409	K20975	K00974	K09471	K21062	K02054	K01555	K11354	K07588	K05964	K15586	K11894	K21703	K00452	K00844	K00647	K03742	K13028	K15916	K11080	K02410	K02858	K10004	K15256	K19221	K07331	K10531	K07664	K00263	K22104	K07692	K02304	K15789	K13609	K03675	K06042	K08683	K16371	K19222	K02386	K02523	K08097	K01963	K18930	K01950	K03973	K18905	K08305	K23463	K22879	K04796	K01182	K00956	K00630	K06870	K01903	K01551	K14840	K00700	K01554	K00299	K20483	K03328	K15408	K11995	K22552	K07518	K06013	K07480	K21829	K10560	K18609	K12284	K08972	K08301	K03558	K15372	K00023	K07723	K02116	K18991	K22319	K02920	K05523	K20497	K00262	K00864	K07788	K00604	K00041	K03149	K05275	K02049	K17205	K05556	K22214	K13355	K00817	K08697	K06377	K17105	K02502	K03519	K00324	K00166	K03855	K17592	K09908	K14260	K18123	K05782	K03415	K18990	K12209	K10945	K22894	K02783	K02481	K06941	K00435	K14301	K22553	K06163	K02911	K08641	K02196	K08977	K16740	K07010	K16244	K22747	K18399	K06937	K09947	K00253	K02899	K15024	K03043	K20444	K16874	K19048	K13039	K14215	K14540	K11902	K07776	K08321	K24136	K09252	K06879	K21008	K01817	K14446	K03535	K02394	K05603	K07457	K03538	K00275	K23414	K01628	K03978	K06048	K10199	K03057	K07743	K20265	K12942	K03930	K05580	K11082	K07505	K07991	K02935	K12255	K00284	K03593	K08137	K18297	K00364	K00278	K00426	K16255	K01118	K14584	K24017	K07667	K11072	K11910	K11163	K10544	K00036	K22478	K02639	K06207	K01585	K16212	K01710	K18929	K05535	K01822	K04651	K06287	K02471	K06906	K23237	K10563	K04116	K03631	K05798	K23275	K00384	K05795	K23167	K00970	K13061	K00130	K14709	K21134	K15974	K05895	K11074	K03743	K19507	K00737	K00884	K18933	K00208	K08227	K16904	K04761	K10005	K11495	K11895	K21563	K02551	K13635	K00266	K22549	K07306	K21801	K22185	K10018	K02422	K03059	K08311	K00123	K15530	K21689	K23148	K16091	K00276	K21019	K09988	K08234	K18996	K01997	K03040	K05531	K23988	K24119	K03812	K09024	K00666	K07313	K19116	K12373	K00626	K01929	K07102	K21564	K15429	K02558	K06952	K01738	K21822	K07675	K09140	K05521	K13670	K10843	K12251	K01814	K12981	K06865	K22085	K08152	K00526	K08264	K02024	K16563	K02529	K16554	K02418	treatment	Group1	Group2
R64	1101	149	936	191	0	0	0	113	124	39	26	77	284	0	439	0	0	0	100	166	13	81	358	38	83	0	233	151	44	38	130	0	0	0	0	11	15	171	13	0	13	49	185	0	183	65	174	165	272	0	30	137	29	931	0	22	5	32	185	0	0	147	510	0	973	38	59	40	0	0	4	12	0	365	109	0	0	0	2	485	79	188	155	90	1	81	0	0	0	0	20	61	244	0	179	0	540	614	818	0	0	0	20	387	0	0	0	95	392	224	0	14	0	0	28	0	31	0	11	0	7	452	8	244	1098	112	0	31	41	80	293	16	0	0	482	0	25	0	481	89	197	0	24	1351	110	184	0	0	11	10	17	30	41	0	17	0	0	87	109	0	175	67	19	0	479	0	83	219	1265	0	0	0	149	0	14	0	0	0	0	0	0	0	1402	20	12	0	50	800	0	99	0	28	260	238	0	25	113	1166	0	0	992	146	0	55	221	0	15	59	431	307	0	0	352	33	778	0	0	691	0	0	141	0	48	0	93	0	41	49	145	0	0	0	0	602	11	0	69	32	0	41	0	70	0	61	0	0	0	26	0	14	0	182	96	0	0	0	0	101	13	20	206	0	4874	2409	0	0	12	0	0	466	93	0	193	1011	237	251	42	0	82	118	105	0	60	0	0	0	123	70	93	0	0	14	0	506	107	26	0	278	0	77	N5_W	N5	W
R65	709	114	769	200	0	0	0	30	43	84	10	110	161	0	291	0	0	0	77	133	0	31	235	38	51	0	227	43	61	24	161	0	0	6	0	0	31	105	4	0	10	57	140	0	185	39	141	97	180	0	76	138	13	797	0	45	1	0	75	0	0	92	315	0	882	14	24	19	0	0	0	0	0	405	128	2	0	0	0	388	90	178	105	220	0	87	0	28	0	0	14	111	158	0	116	0	486	573	513	10	0	0	29	315	0	0	0	35	159	171	0	6	0	0	13	0	0	0	0	0	36	295	16	220	886	59	0	11	71	0	206	22	0	0	380	0	31	0	341	39	127	233	25	1660	239	45	0	2	0	0	6	12	0	0	29	0	0	82	149	0	149	50	11	0	383	4	67	213	1085	0	5	10	132	7	12	0	0	0	0	328	0	0	1310	0	14	0	32	682	0	108	0	25	172	183	0	26	17	923	0	0	837	73	0	33	147	0	21	59	374	229	0	0	275	0	750	0	0	616	0	0	63	0	40	0	0	0	23	0	121	0	0	0	0	519	4	4	86	65	0	29	0	53	0	30	0	0	0	31	0	13	0	161	108	0	0	0	0	37	23	14	106	0	3619	2143	0	35	0	0	0	253	61	0	177	782	148	289	0	6	57	94	140	0	95	3	0	0	127	71	121	0	0	4	19	553	38	0	0	99	0	69	N5_W	N5	W
R66	855	186	919	206	0	0	0	36	32	96	48	85	182	0	415	0	0	0	82	145	0	22	267	17	20	0	205	73	44	28	123	0	0	13	0	15	28	66	0	0	0	45	166	0	147	34	190	156	219	31	115	132	20	854	21	33	0	0	126	0	0	190	425	0	818	36	19	16	0	0	0	13	0	304	67	0	16	13	0	357	154	154	50	92	0	79	0	0	0	0	27	80	231	0	93	0	511	583	608	0	13	0	0	331	0	0	0	85	308	129	0	14	0	0	10	18	27	0	0	0	29	414	8	298	1043	51	0	17	9	71	199	25	0	0	369	0	0	0	379	61	85	212	40	996	241	208	0	4	0	0	29	18	40	0	59	3	0	55	136	0	198	32	10	0	509	0	80	197	1227	0	0	8	54	0	0	0	0	6	0	0	0	0	1293	0	14	0	83	792	0	101	0	20	270	168	0	11	33	988	0	0	954	157	0	33	253	0	14	58	419	295	0	0	281	0	762	0	0	558	0	8	32	0	0	0	86	0	23	0	177	0	0	15	0	392	17	0	99	38	0	30	0	64	0	59	0	0	0	12	0	8	0	130	86	0	0	0	0	90	0	10	123	0	4253	2246	0	24	0	0	0	431	45	0	223	939	184	161	20	0	50	132	117	0	14	0	0	0	43	53	155	0	0	9	0	524	62	31	0	189	0	51	N5_W	N5	W
R67	791	152	844	204	15	0	0	34	37	0	28	101	201	0	383	0	0	0	40	143	0	51	217	30	53	0	257	70	52	14	153	0	0	17	13	10	0	101	11	0	0	43	146	0	149	60	114	142	231	64	57	172	0	954	0	55	0	0	106	0	0	285	501	0	907	21	32	38	0	23	0	15	0	322	109	0	0	0	0	301	119	232	134	79	1	96	0	0	0	0	75	66	183	58	139	0	488	604	560	0	0	0	0	266	0	6	0	84	308	230	0	16	0	0	26	16	20	0	10	0	14	780	9	104	1075	112	0	0	43	84	220	8	0	0	348	7	34	0	390	69	129	223	6	1160	150	79	0	11	0	0	13	18	24	0	55	6	0	77	168	0	193	19	0	0	506	0	75	165	1082	0	0	9	73	0	25	0	0	0	0	357	16	0	1353	0	18	0	114	864	0	145	0	22	199	153	0	15	52	858	0	0	730	175	0	55	130	0	30	68	425	231	0	0	294	0	760	0	0	775	0	15	50	0	84	0	0	11	24	64	129	0	0	0	0	431	8	0	110	33	0	70	0	119	0	94	0	0	21	38	0	4	0	192	96	0	4	0	0	135	20	14	128	24	4528	2291	0	32	0	0	0	347	73	0	157	1033	216	313	26	0	0	112	125	0	45	0	0	0	97	67	84	0	0	11	0	510	71	0	0	288	0	65	N5_W	N5	W
R68	871	218	1002	192	33	0	0	57	94	161	13	120	159	16	445	0	0	0	90	183	23	17	311	16	9	0	273	108	47	14	158	0	0	15	16	9	0	130	12	0	0	74	206	0	158	110	116	148	215	0	28	127	25	1005	67	41	0	0	116	0	0	139	430	2	867	34	25	2	0	43	0	0	0	343	111	0	0	0	0	296	159	257	205	126	2	95	0	0	3	0	0	21	265	0	242	0	536	476	803	0	0	0	44	336	0	6	0	80	208	185	0	15	0	0	16	13	26	0	0	0	5	514	16	170	1040	64	0	0	35	73	278	16	0	29	431	0	0	0	378	47	120	220	33	1235	140	186	0	0	0	0	7	26	0	0	29	7	4	112	170	0	221	68	16	0	491	6	106	173	1199	0	0	3	83	5	24	0	5	0	0	452	0	0	1295	0	0	0	50	705	0	93	8	11	220	145	0	19	66	870	0	0	907	154	0	69	97	0	21	49	496	210	0	0	227	0	709	0	0	656	0	10	78	0	49	0	74	0	22	32	152	0	0	0	0	501	0	0	75	32	0	70	0	87	0	85	0	0	15	36	0	29	0	189	128	0	0	0	0	57	34	16	166	0	4672	2175	2	16	0	0	0	329	55	0	206	974	190	253	39	0	72	113	82	0	0	0	11	0	79	18	117	0	0	13	15	541	71	35	0	220	61	87	N5_W	N5	W
R69	1212	193	777	176	20	0	0	58	59	63	18	124	242	0	405	0	0	19	42	151	7	42	293	30	75	0	246	29	20	29	145	0	0	22	13	0	5	151	0	0	0	101	222	0	149	47	155	135	222	19	37	120	21	875	0	49	0	30	192	0	0	137	431	0	963	38	28	28	0	0	0	19	0	478	121	0	0	0	8	324	219	165	211	130	0	57	0	14	0	0	0	139	208	0	196	0	632	630	843	0	13	0	0	355	2	5	0	141	341	263	0	15	0	0	46	0	33	0	0	0	18	404	7	77	1005	130	0	19	12	75	232	23	0	0	471	2	0	0	319	64	111	0	63	1057	272	228	0	0	0	0	0	30	50	0	49	0	0	60	137	0	196	54	13	0	553	0	126	188	1310	0	0	2	58	0	16	0	0	0	0	343	0	0	1426	23	20	0	78	864	0	97	5	6	270	72	0	39	51	871	0	0	925	110	0	95	206	0	14	78	462	168	0	0	367	33	906	0	0	608	0	36	20	0	45	0	0	0	42	0	113	0	6	0	0	525	5	4	98	43	0	25	0	140	0	75	0	0	0	16	0	6	0	155	116	0	0	0	0	79	13	18	147	5	4423	2170	0	12	0	0	0	335	58	0	172	945	239	214	10	0	89	104	214	0	92	0	0	0	128	68	74	0	0	5	0	469	154	24	0	234	0	92	N5_W	N5	W
R70	1112	162	882	175	0	0	0	9	142	26	27	143	261	0	367	0	0	0	70	168	28	37	352	26	46	0	291	93	52	17	149	0	0	0	32	18	0	127	4	0	7	47	202	0	179	49	176	126	279	68	119	115	16	691	0	60	0	0	155	0	0	224	403	0	885	21	31	15	0	61	0	0	0	424	89	0	0	21	3	314	124	227	87	140	4	83	0	16	0	0	24	88	183	83	236	0	640	490	662	0	0	37	0	417	0	0	0	83	298	219	35	9	0	0	26	11	26	0	38	0	14	358	3	394	1031	80	0	0	48	0	266	21	0	0	452	0	0	0	399	51	91	211	40	1352	618	149	0	7	0	0	0	14	33	0	68	0	0	106	242	0	177	62	0	0	529	0	37	205	1212	0	1	3	165	0	0	0	0	0	0	0	0	0	1308	28	0	0	73	659	0	118	0	14	192	163	0	27	17	1083	0	0	955	72	0	87	194	0	26	84	489	294	0	0	233	33	841	0	0	638	5	38	123	0	33	0	0	0	29	0	174	0	0	0	0	527	0	0	63	46	0	69	0	42	0	132	0	0	0	43	0	24	0	146	0	0	4	0	0	105	0	18	160	5	4422	2186	0	0	0	0	10	284	98	0	310	1040	231	286	5	0	99	86	200	0	33	6	15	0	72	78	128	0	0	17	0	507	84	39	0	205	93	43	N10_W	N10	W
R71	1559	352	1226	246	66	0	20	710	108	240	35	164	254	0	526	0	0	0	122	240	0	304	390	19	60	0	554	51	5	53	132	0	0	11	174	9	0	213	17	0	4	82	386	0	265	203	275	244	414	117	346	284	39	1202	0	207	9	0	430	0	4	412	487	0	991	66	56	36	71	341	0	85	97	634	70	0	0	12	0	363	310	331	168	266	11	122	21	9	0	0	76	123	485	387	249	0	779	1003	1015	0	0	0	21	679	0	0	0	261	332	430	97	12	0	0	148	12	30	43	88	9	43	895	0	458	1518	106	0	0	43	107	406	25	0	0	581	0	225	5	389	30	240	326	11	2622	444	189	0	0	0	0	42	60	33	7	86	103	0	239	310	12	511	301	18	2	688	0	44	340	1549	0	5	0	80	0	36	0	0	0	0	654	0	0	1776	0	0	0	203	1054	0	135	0	29	466	307	0	27	135	1722	87	0	1539	179	10	171	228	0	35	42	734	304	0	0	596	25	1380	0	0	1142	3	40	136	10	0	0	64	76	27	25	201	0	0	0	0	745	0	7	258	37	0	109	0	165	0	275	0	0	34	13	0	67	1	233	313	0	0	0	153	90	19	52	183	5	5192	2858	0	30	52	2	0	820	76	0	1021	2394	645	374	17	0	261	129	319	0	166	8	6	0	69	275	209	0	0	12	0	692	210	30	0	780	128	139	N10_W	N10	W
R72	1630	590	1309	286	56	7	0	464	368	188	200	51	333	0	552	0	0	51	129	171	10	258	427	18	72	0	678	117	63	72	127	0	15	0	169	38	13	199	46	16	0	52	252	26	276	201	419	199	486	0	176	296	17	962	0	200	1	0	368	0	0	353	407	0	1291	33	50	34	52	219	0	88	83	571	63	9	78	0	0	346	429	378	235	304	6	118	0	8	0	0	25	113	593	549	509	0	807	1152	1056	0	0	0	0	696	0	0	0	187	419	342	69	22	0	0	103	0	25	20	86	0	34	755	0	563	1577	116	0	31	0	121	456	28	0	0	643	0	328	0	586	49	194	0	19	2686	454	66	27	0	0	0	123	35	47	0	144	98	0	228	134	55	574	191	5	0	762	0	80	471	1412	0	0	6	198	0	81	0	28	0	0	635	0	0	1744	0	44	32	361	0	0	136	0	27	499	312	80	88	172	1708	81	0	1550	210	22	224	386	0	34	66	708	125	0	17	598	0	1491	0	0	1346	0	17	231	0	0	0	0	20	27	11	300	0	0	22	76	818	64	12	129	14	0	157	87	221	0	398	143	0	0	41	0	107	0	272	398	60	2	0	129	62	16	98	214	0	4226	2729	0	45	31	0	0	928	96	0	1367	2236	497	415	23	0	279	196	526	0	174	4	19	0	64	249	211	0	0	6	0	654	61	32	12	1676	289	176	N10_W	N10	W
R73	1635	288	1045	321	15	0	0	35	105	117	12	49	321	0	580	0	0	0	74	162	13	102	414	40	76	0	355	35	105	48	146	0	0	0	78	0	0	200	21	0	8	70	283	0	249	96	226	143	334	0	119	242	24	989	40	91	5	27	226	0	0	352	701	0	1012	18	78	63	62	0	0	37	0	574	54	0	0	0	0	442	216	323	186	195	0	88	21	0	0	0	0	165	522	61	224	22	715	704	801	0	0	0	16	443	3	0	0	187	416	303	53	13	0	0	77	23	27	18	19	0	28	773	4	287	1485	91	0	17	47	113	404	23	0	0	579	0	106	0	505	63	102	314	17	1969	558	126	0	0	0	0	31	57	34	0	74	33	0	156	107	0	273	140	10	0	718	0	62	225	1603	0	4	0	143	6	39	0	0	24	0	612	0	0	1625	0	0	15	140	1067	0	127	0	10	276	227	0	26	106	1406	0	0	1343	95	0	75	241	0	45	60	687	205	0	0	530	0	1250	0	0	987	6	39	60	0	113	0	66	4	40	30	279	0	0	23	18	607	10	1	196	29	0	57	11	272	0	62	12	0	0	32	0	33	0	198	73	17	0	0	45	102	22	46	196	0	4573	2697	0	15	12	0	0	478	102	0	502	1652	466	362	25	0	175	110	257	0	88	13	11	0	63	190	112	0	0	18	0	721	50	52	7	560	111	115	N10_W	N10	W
R74	1882	338	1314	274	17	0	0	555	360	257	85	149	378	0	702	0	0	96	265	242	0	386	524	10	125	0	584	70	40	119	180	0	0	12	144	16	0	277	41	0	0	85	305	25	361	254	384	189	524	39	186	201	0	1305	32	172	0	52	389	0	0	606	566	0	1365	18	118	69	69	369	0	184	100	825	90	0	15	0	0	344	384	507	422	338	0	210	13	50	0	0	39	94	552	396	432	21	907	1015	1082	0	0	0	0	851	0	0	0	198	477	647	126	26	0	0	207	13	58	62	90	0	37	895	1	561	1782	145	0	48	45	140	639	22	9	0	583	0	211	0	485	81	311	399	45	2450	440	93	0	0	0	0	104	52	34	0	12	135	9	342	146	0	547	403	17	0	832	10	95	405	1540	0	0	2	212	5	144	0	0	7	0	702	0	0	2022	64	15	0	335	1203	0	259	5	27	380	230	0	44	84	2065	141	0	1992	146	20	229	243	0	15	77	950	334	1	0	697	36	1627	0	70	1410	4	0	138	5	40	0	0	58	45	31	351	0	0	0	0	828	8	1	170	47	0	174	33	260	0	323	27	41	36	45	11	71	0	338	104	0	0	0	75	128	32	44	302	0	5478	3061	0	36	48	4	0	1051	140	0	1201	2961	630	537	30	0	303	148	476	47	116	5	18	0	66	262	260	0	0	13	0	841	142	35	0	1385	306	163	N10_W	N10	W
R75	1171	160	1025	259	0	11	0	59	126	141	13	109	322	0	451	0	0	0	50	190	18	21	499	9	108	0	306	5	20	44	124	12	0	6	0	0	0	177	9	0	0	40	218	0	221	77	168	213	218	87	106	170	13	845	0	63	4	31	184	0	14	262	418	0	902	15	39	9	0	0	0	27	0	537	68	0	0	0	0	418	200	267	209	174	5	77	0	0	0	0	0	107	245	0	173	0	701	703	836	0	0	23	0	404	0	0	0	77	300	268	16	9	0	0	77	13	18	5	0	0	7	931	0	211	1201	76	0	25	0	91	237	23	0	0	473	0	41	0	454	27	72	0	0	1429	325	157	0	0	0	0	34	9	68	0	18	17	0	150	136	0	259	32	0	0	567	0	99	204	1535	0	0	0	106	0	20	0	0	0	21	0	0	0	1436	67	0	6	34	996	0	93	3	0	261	159	0	59	101	894	0	0	1205	129	0	94	124	0	11	69	562	183	0	0	438	24	1111	0	0	781	0	39	89	0	21	0	0	0	18	20	161	0	0	0	0	563	9	0	118	19	0	78	0	153	0	82	0	45	0	29	0	26	1	165	127	0	0	0	0	63	0	55	165	15	4455	2482	0	22	13	4	0	575	59	0	300	1167	352	262	9	14	87	92	111	0	43	10	0	0	67	134	93	0	29	11	0	698	33	28	0	321	81	70	N10_W	N10	W
R76	1224	302	998	189	65	0	51	324	165	354	40	133	373	0	411	0	0	74	95	217	20	185	302	14	100	0	521	47	48	64	157	0	0	0	149	15	5	289	17	0	0	53	234	88	270	155	282	171	325	18	116	258	14	930	0	107	1	50	190	0	0	335	343	0	1138	44	102	14	23	169	0	87	75	472	40	0	11	0	0	357	245	363	289	244	0	83	17	17	0	0	19	138	354	133	243	9	636	994	721	0	0	0	0	484	0	0	11	158	369	345	64	23	0	0	127	10	55	48	48	0	56	885	0	310	1388	122	0	20	26	100	371	17	0	0	630	0	80	0	379	60	163	255	0	1813	372	225	3	0	0	9	91	21	16	0	39	71	0	180	262	0	393	173	0	0	701	7	66	295	1419	0	0	0	190	0	76	0	17	0	0	535	16	0	1631	57	13	25	65	969	0	179	0	44	334	289	0	28	127	1511	63	0	1234	77	0	118	264	0	21	69	656	224	0	0	484	27	1258	13	13	886	8	16	211	0	0	0	0	24	25	13	205	0	3	44	0	687	11	6	105	95	0	118	18	187	0	155	28	0	0	34	0	89	0	216	0	0	0	5	145	91	16	46	206	2	4751	2813	0	27	43	0	0	454	81	0	700	1746	397	374	5	0	178	112	232	0	8	0	0	0	141	211	166	0	0	12	15	845	84	24	0	1375	92	141	N15_W	N15	W
R77	1238	367	1384	342	13	0	0	210	121	147	57	84	356	0	629	0	0	0	25	174	7	173	499	14	113	0	456	91	69	45	195	0	0	14	125	11	0	228	24	19	9	86	272	0	310	123	252	335	356	63	108	229	27	971	0	196	1	0	318	0	0	322	569	0	1153	18	75	36	0	133	0	28	0	670	40	0	15	0	0	568	215	372	248	140	6	98	0	0	0	0	0	117	382	67	383	35	818	962	1099	0	0	0	0	464	0	0	0	172	508	429	56	12	0	0	63	8	5	0	73	0	32	1160	4	404	1601	102	0	0	9	121	305	22	0	0	722	0	144	0	476	42	178	0	24	2591	439	17	0	0	0	0	45	80	38	0	17	14	0	215	219	0	450	184	5	0	796	8	55	333	1916	0	5	0	246	7	19	0	22	0	0	681	0	0	1957	0	35	52	93	1027	0	81	0	26	519	352	0	75	199	1482	0	0	1693	196	21	154	303	0	54	82	756	285	0	0	583	0	1482	0	0	1077	10	0	133	9	67	0	0	2	27	11	198	0	0	0	30	789	33	3	124	35	0	102	44	329	0	135	25	0	0	34	17	72	0	213	131	0	0	0	32	76	0	59	261	0	4547	2930	0	24	9	1	0	634	72	0	524	2216	604	399	51	15	208	208	324	0	68	11	0	0	130	233	167	0	18	23	0	696	68	0	0	940	273	164	N15_W	N15	W
R78	2448	977	1979	430	112	0	0	1165	614	770	119	127	462	0	977	0	0	215	370	272	15	439	545	7	113	0	775	260	45	153	188	0	0	0	368	67	14	603	73	13	0	126	539	168	432	416	618	420	625	96	776	558	29	1634	73	270	17	0	1002	0	0	852	771	0	1647	81	72	47	65	513	0	326	291	932	90	0	38	0	0	847	689	828	584	614	8	149	47	0	0	11	86	216	937	354	633	86	1001	2078	1654	0	0	0	0	1187	0	0	23	328	567	883	107	22	0	0	306	0	63	160	172	41	57	2164	9	308	2123	174	0	24	21	0	684	41	0	0	901	1	285	0	405	45	446	0	85	3889	1132	102	4	0	20	0	232	110	67	0	81	270	3	342	282	27	828	500	0	0	1218	11	65	535	2914	0	0	0	213	18	167	0	14	34	0	784	16	0	2549	0	42	72	360	1701	0	375	0	43	746	564	0	99	314	2821	266	0	2664	295	0	499	394	0	61	46	1221	345	0	27	1286	21	2468	17	28	1986	22	34	422	8	32	0	47	109	51	57	431	0	0	122	38	1148	53	4	366	66	0	281	24	392	15	658	122	0	0	36	28	144	0	407	416	32	16	0	409	136	30	96	312	26	5993	0	0	83	143	0	12	1499	224	0	2129	3982	977	634	62	14	470	190	642	0	137	12	105	16	252	341	321	0	0	27	10	1201	195	41	0	3032	378	268	N15_W	N15	W
R79	1306	240	1090	241	0	0	0	533	187	177	52	179	229	0	427	0	0	0	76	208	6	141	413	4	84	0	432	101	27	45	150	0	0	14	52	13	0	159	5	0	0	78	194	0	310	90	122	200	314	22	193	201	15	824	22	46	0	0	358	0	0	312	501	0	1117	13	27	10	78	238	0	105	98	570	107	7	0	0	0	401	323	386	222	250	0	94	21	0	0	0	0	96	308	183	269	23	634	938	783	0	0	50	0	556	0	0	14	125	342	316	30	20	0	0	64	23	27	28	22	0	22	613	0	222	1370	88	0	0	32	105	427	16	5	0	547	0	112	0	332	42	168	265	40	2158	358	127	0	0	0	0	5	7	22	0	52	68	0	157	139	0	395	140	6	0	665	0	97	257	1511	0	0	0	76	0	14	0	0	0	0	480	0	0	1566	0	7	0	73	924	0	84	8	16	341	192	0	78	107	1345	55	0	1479	177	12	228	207	0	26	77	687	246	0	0	549	0	1190	0	0	946	0	12	141	0	32	0	58	28	29	8	253	0	4	13	18	600	23	3	153	17	0	51	0	119	0	143	21	0	0	25	9	53	1	180	143	0	0	7	101	71	18	35	159	0	4837	2723	0	13	23	0	0	461	79	3	882	1492	498	316	22	0	222	108	271	0	26	0	0	0	60	156	152	0	0	11	0	541	0	18	0	581	90	115	N15_W	N15	W
R80	699	101	807	195	0	0	0	15	53	89	10	54	167	0	395	0	0	0	20	170	0	0	298	6	84	0	261	49	17	17	78	0	0	15	18	0	0	104	3	0	0	31	145	0	196	66	120	207	254	41	53	135	9	563	0	18	0	0	78	0	0	60	327	0	624	27	22	9	0	0	0	0	0	459	24	0	0	0	0	245	117	200	137	73	0	61	0	0	0	0	24	107	117	0	130	0	535	440	412	0	0	0	0	224	0	0	0	40	168	113	0	22	0	0	0	0	17	0	6	0	0	687	0	116	1023	69	0	23	0	65	165	14	0	0	446	0	32	0	345	33	25	217	23	992	194	22	0	0	0	0	9	32	48	0	39	5	0	79	83	0	233	36	10	0	504	0	51	200	1176	0	0	0	0	0	7	0	0	0	0	0	0	0	1220	48	0	0	51	679	0	57	0	21	183	128	0	15	0	452	0	0	637	117	0	77	205	7	14	50	452	120	0	0	245	0	863	0	0	599	0	18	53	0	0	0	0	2	21	7	103	0	0	0	0	308	0	3	73	0	4	32	0	124	0	99	0	0	0	14	0	13	0	121	144	0	0	0	0	44	0	35	82	10	2754	2025	0	11	0	0	0	179	49	0	248	924	152	129	19	0	82	86	114	0	5	3	8	0	55	45	77	0	0	7	0	516	41	59	0	329	0	74	N15_W	N15	W
R81	929	234	974	175	0	0	0	61	143	104	21	51	275	0	421	0	0	0	85	139	0	88	346	13	74	0	276	84	43	29	140	0	0	0	80	0	34	155	8	0	10	77	137	0	143	91	207	210	288	22	117	147	15	820	67	51	17	0	62	0	0	169	490	0	784	14	24	37	0	0	0	55	0	428	91	0	0	0	0	397	125	242	192	128	0	96	10	27	0	0	0	97	160	0	157	0	623	539	685	0	0	0	8	342	0	5	0	211	277	321	21	2	0	0	95	0	5	0	13	0	51	469	7	167	1147	107	0	36	0	72	241	15	0	0	441	7	35	0	401	29	87	212	17	1543	313	74	0	9	4	0	13	21	42	0	33	16	0	114	125	0	295	94	8	0	491	6	23	170	1327	0	14	4	160	29	4	0	0	40	0	0	0	0	1340	0	15	0	101	814	0	82	0	16	238	224	0	23	59	936	40	0	993	57	0	122	174	0	7	24	456	319	0	0	332	0	1044	0	0	485	0	12	98	4	39	0	0	6	23	22	174	0	0	0	0	649	0	0	69	43	0	27	0	114	0	46	0	0	0	0	0	43	2	122	0	0	3	0	0	74	14	22	149	0	2746	2286	0	0	0	2	0	241	64	0	448	1316	300	290	0	29	116	97	282	0	81	25	0	0	184	123	126	0	50	9	0	634	54	0	0	199	95	76	N15_W	N15	W
